Station_Name,total_trains,unique_trains
PANSKURA,129,129
REWARI JN.,129,129
SHAHJAHANPUR,129,119
AMRITSAR JN.,127,127
AJMER JN.,127,127
NAGDA JN,126,126
VASAI ROAD,126,126
MALDA TOWN,126,126
KAZIPET JN.,125,125
HAFIZPETA,124,124
UJJAIN JN,124,124
JHARSUGUDA J,124,124
MADHUPUR JN.,122,122
BADNERA JN.,122,122
BAGNAN,122,122
SAHIBABAD,121,121
GUNTAKAL JN.,121,121
SIMURALI,121,121
ERNAKULAM TO,121,121
NEW BONGAIGA,121,121
ROYAPURAM,120,120
WASHERMANPET,120,120
GUWAHATI,119,119
TUNDLA JN,118,118
PANIPAT JN.,118,118
HYDERABAD DE,118,118
MAHESANA JN,118,118
FALAKNUMA,118,118
MOKAMA JN.,118,118
PUTTLUR,117,117
BANGARPET JN,117,117
VEPPAMPATTU,117,117
SEVVAPET ROA,117,117
KOTTAYAM,116,116
RAJENDRANAGA,116,116
SURENDRANAGA,116,104
DANAPUR,115,115
PAYRA DANGA,115,115
MADANPUR,115,115
VIRAMGAM JN,115,115
SOLAPUR,115,115
ANDUL,115,115
JHAJHA,114,114
CALICUT,114,114
MADGOAN JN.,114,114
BAKHTIYARPUR,114,114
ROURKELA,114,114
BAURIA JN,114,114
ARA,113,113
ULHASNAGAR,113,113
DANKUNI JN.,113,113
FARIDABAD,112,112
BAMANGACHHI,112,112
DATTAPUKUR,112,112
DHANBAD JN.,111,111
JAMMU TAWI,110,110
SITAFALMANDI,110,109
UNNAO JN.,110,110
PALPARA,109,109
HUBLI JN.,109,109
VITHALWADI,109,109
KANNUR,109,109
FULESWAR,109,109
HITECH CITY,108,108
BORABANDA,108,108
CHENGANNUR,108,108
GUNTUR JN.,108,108
NATURE CURE,108,108
PALANPUR JN,108,108
CHANDANAGAR,108,108
FATEHNAGAR,108,108
PALASA,108,108
BHARATNAGAR,108,108
BEAS JN,108,108
TILAK BRIDGE,107,105
BARA BANKI J,107,107
KAMAKHYA JN,107,107
IGATPURI,106,106
SONPUR JN.,105,105
JODHPUR JN.,105,105
SHIVAJI BRID,105,103
KORUKKUPET,104,104
TIRUVOTTIYUR,104,104
ENNORE,104,104
TONDIARPET,104,104
TIRUVALLA,104,104
CHENGEL,103,103
MALAKPET,103,103
SANKRAIL,103,103
BASTI,103,103
NALPUR,103,103
MINJUR,102,102
ROHTAK JN.,102,101
ATTIPATTU,102,102
PONNERI,102,102
MADURAI JN,102,102
ADRA,102,102
DELHI-SHAHDA,102,102
TRIVANDRUM C,102,102
JAJPUR KEONJ,102,102
DABIR PURA,101,101
ATTIPATTU PU,101,101
HUPPUGUDA,101,101
BUXAR,101,101
YAKUT PURA,101,101
DUVVADA,101,101
KOLAGHAT,101,101
DEULTI,100,100
ABU ROAD,100,100
PURNA  JN.,100,100
MAJERHAT,100,100
HABIBGANJ,100,100
PHULERA JN.,99,99
KHAGARIA JN.,99,99
VIDYA NAGAR,99,99
KOLKATA,99,99
ALIGARH JN.,99,99
JAMAI-OSMANI,99,99
ARTS COLLAGE,99,99
JAMALPUR JN.,99,99
BELAPUR C.B.,99,99
NANDED,99,99
SIWAN JN.,99,99
BANGALORE CA,99,99
KHAMMAM,98,98
SIRPURKAGHAZ,98,98
RAMRAJATALA,98,98
NSC BOSE J G,98,98
KULGACHIA,98,98
PURI,98,98
BANDRA TERMI,98,98
BIRSHIBPUR,98,98
GUMMIDIPUNDI,98,98
KALINARAYANP,98,98
GANGPUR,97,97
NEW COOCH BE,97,97
SAKTI GARH J,97,97
TIKIAPARA,96,96
RAJKOT,96,96
BANGAON JN.,96,96
MERTA ROAD J,96,96
DASHNAGAR,95,95
BHARATPUR JN,95,95
RATNAGIRI,95,95
INDORE BG,94,94
MARWAR JN.,94,94
DAHANU ROAD,94,94
RANGIYA JN.,94,94
CHIRALA,94,94
KAVARAIPPETT,94,94
PATHANKOT CA,93,93
SRIKAKULAM R,93,93
KADAMBATTUR,93,93
GHORAGHATA,93,93
DARBHANGA JN,92,92
WARDHA JN.,92,92
DHARMAVARAM,92,92
