Station_Name,total_trains,unique_trains
DEHRA DUN,38,38
BAREILLY CIT,38,38
PRANTIK,38,38
MAJHDIA,38,38
DHARMABAD,37,37
KANHE,37,37
JAGADHRI WOR,37,37
JANGAON,37,37
KAKINADA TOW,37,37
HARISH NAGAR,37,37
GOALPARA  TO,37,37
SAMALKHA,37,37
MAVLI JN.,37,37
BALAMAU JN.,37,37
BANKIMNAGAR,37,37
GUDUVANCHERI,37,37
SHASAN ROAD,37,37
IDGAH,37,37
RUTHIYAI JN,37,37
CHOPAN,37,37
PANCHBHERIA,37,37
KRISHNAMOHAN,37,37
KHARDI,37,37
BAIYYAPPANAH,37,37
MALUR,37,37
CHANDIL JN.,37,37
MALAVLI,37,37
KASHIPUR JN,37,37
WADAKANCHERI,36,36
CHAKIA,36,36
SAPHALE,36,36
BIJAPUR JN,36,36
VANDALUR,36,36
MURARAI,36,36
CHANCHAI,36,36
PALASDARI,36,36
MADHUBANI,36,36
KHANNA,36,36
KHACHROD,36,36
PATEL NAGAR,36,36
CHURU,36,36
UMDANAGAR,36,36
UMBERMALLI,36,36
BIHIYA,36,36
PHAPHAMAU JN,36,36
THANSIT,36,36
KATTANGULATH,36,36
PONMALAI (GO,36,36
KARAD,36,36
PILIBHIT JN.,36,36
ZAMANIA,36,36
GULZARBAGH,36,36
HINGANGHAT,36,36
BHAGAT-KI-KO,36,36
ASHOK NAGAR,36,36
KAJRA,36,36
SAMSI,36,36
CAVALRY BARR,36,36
KANJARI BORI,35,35
JAGI ROAD,35,35
VENKATAGIRI,35,35
MURTAJAPUR J,35,35
CHHATRAPATI,35,35
CHIKJAJUR JN,35,35
MEERUT CANT,35,35
CHIDAMBARAM,35,35
KASHI,35,35
PILKHUA,35,35
TAMLUK,35,35
LATUR ROAD,35,35
LASUR,35,35
MANGALA GIRI,35,35
KOTTAVALASA,35,35
ALUABARI ROA,35,35
KODURU,35,35
KRISHANA CAN,35,35
GANAUR,35,35
SURATGARH JN,35,35
FEROK,35,35
BOLARUM BAZA,34,34
GHATPRABHA,34,34
GOTAN,34,34
TADA,34,34
SAFILGUDA HA,34,34
SITAPUR CANT,34,34
SIRKAZHI,34,34
ICHCHA PURAM,34,34
BELERHAT,34,34
INDRAGARH SU,34,34
HINGOLI(DECC,34,34
SASTHANKOTTA,34,34
ARAMBAKKAM,34,34
BARWADIH JN,34,34
DHARHARA,34,34
RAMAKISTA PU,34,34
JEHANABAD,34,34
ELAVUR,34,34
AMMUGUDA HAL,34,34
BACHHRAWN,34,34
KHAIRTHAL,34,34
AZAMGARH,34,34
TAREGNA,34,34
PATTAMBI,34,34
TANUKU,34,34
ALWAL HALT,34,34
KOT KAPURA J,34,34
KOVVUR,34,34
KHARIAR ROAD,34,34
PARLI VAIJNA,34,34
DAYANANDNAGA,34,34
MAHE,34,34
BAGAHA,34,34
PALAM,34,34
BIDADI,34,34
URULI,34,34
MAHASAMUND,34,34
NARELA,34,34
BAMRA,34,34
VIDYASAGAR,34,34
MANAMADURAI,34,34
MANCHESWAR,34,34
MANDUADIH,34,34
CHAKULIA,34,34
WASHIM,34,34
GOWDAVALLI H,33,33
SIROHI ROAD,33,33
GADARWARA,33,33
FATEHPUR,33,33
ROHA,33,33
ROTEGAON,33,33
BIDAR,33,33
GORAKHPUR CA,33,33
BENOY BADAL,33,33
RUDAULI,33,33
BANASWADI,33,33
ALLAHABAD CI,33,33
FURKATING JN,33,33
KALYANI SIMA,33,33
MIYAGAM KARJ,33,33
KALYANI GHOS,33,33
KALYANI SILP,33,33
NIMACH,33,33
SHADNAGAR,33,33
MODINAGAR,33,33
KHAMBHALIYA,32,32
SURAIMANPUR,32,32
HARIPAD,32,32
PUNARAKH,32,32
MAHENDRAGARH,32,32
WALAJAH ROAD,32,32
BITRAGUNTA,32,32
HARISHCHANDR,32,32
JANGIPUR ROA,32,32
VANGAON,32,32
BUDALUR,32,32
MANWATH ROAD,32,32
GIDHAUR,32,32
KAMPTEE,32,32
BHAVNAGAR TE,32,32
AMBALAPUZHA,32,32
SAMBALPUR RO,32,32
GARBETA,32,32
GAHMAR,32,32
GAJRAULA JN.,32,32
BARABHUM,32,32
SON NAGAR JN,32,32
CHITTAPUR,32,32
DASUA,32,32
BAREJADI NAN,32,32
ATHMAL GOLA,32,32
ITWARI JN.,32,32
UDAIPUR CITY,32,32
OKHA,32,32
SHRI MAHABIR,32,32
MHOW,32,32
PIRPAINTI,32,32
MANANPUR,32,32
DWARKA,32,32
SITAMARHI,32,32
BHACHAU,32,32
ROZA JN,32,32
HAIAGHAT,32,32
PONDICHERRY,32,32
TIRUPATTUR,32,32
RAJKHARSAWAN,32,32
ELAMANCHILI,32,32
BARAKAR,31,31
DHOLA JN,31,31
DIBRUGARH,31,31
NABA RAYNAGA,31,31
BHILAINAGAR,31,31
SRIDHAM,31,31
JIAGANJ,31,31
SATBERIAHALT,31,31
KIM,31,31
LALGOLA,31,31
SIMALUGURI J,31,31
GUNDLA POCHA,31,31
KUNDAPURA,31,31
FAKIRAGRAM J,31,31
SACHIWALAYA,31,31
BHILAI,31,31
BOTAD,31,31
BUDVEL,31,31
MALLARPUR,31,31
BELDANGA,31,31
BELDA,31,31
MANDSOR,31,31
HAZARIBAGH R,31,31
TOHANA,31,31
GOPAL NAGAR,31,31
MANKAR,31,31
PLASSEY,31,31
BETHUADAHARI,31,31
VASAD JN.,31,31
MAJHERGRAM,31,31
CHANNA PATNA,31,31
GANGNAPUR,31,31
BADARPUR JN.,31,31
KELVE ROAD,31,31
KANNAUJ,31,31
BERHAMPORE C,31,31
MARRI PALEM.,31,31
RANA PRATAP,31,31
JAUNPUR CITY,31,31
MURSHIDABAD,31,31
SAWANTWADI R,31,31
AKAIPUR H,31,31
ASTHAL BOHAR,31,31
KUMEDPUR,30,30
KUMAR DUBI,30,30
KWAKDWIP,30,30
AMBUR,30,30
SINI JN,30,30
BANKA GHAT,30,30
BARACHAK JN.,30,30
ARIYALUR,30,30
SAMBA,30,30
KULITTURAI,30,30
SIURI,30,30
AZIMGANJ  CI,30,30
SISWA BAZAR,30,30
PHAPHUND,30,30
TORI,30,30
HATHRAS CITY,30,30
HATHRAS JN.,30,30
KESAMUDRAM,30,30
RUPSA JN.,30,30
SIHOR JN(GUJ,30,30
VAITARNA,30,30
TRIPUNITTURA,30,30
IZZATNAGAR J,30,30
UDAIRAMPUR,30,30
CHANDRAKONA,30,30
KASHINAGAR-H,30,30
CHIKBANAVAR,30,30
KARANJALI,30,30
MUSAFIRKHANA,30,30
BUDGAM,30,30
NISCHINDAPUR,30,30
MOTIPUR,30,30
KATOL,30,30
SAI NAGAR SH,30,30
NANDYAL,30,30
UNJHA,30,30
KALKA,30,30
SHANKARPALLI,30,30
AKBARNAGAR,30,30
KANCHIPURAM,30,28
MUKERIAN,30,30
MEHSI,30,30
DHOLI,30,30
BURHWAL JN.,30,30
MUNGAOLI,30,30
AMRAVATI,30,30
LOHARU JN,30,30
TEGHRA,30,30
LANKA,30,30
KULPI-FLAG,30,30
SORO,30,30
NAUPADA JN.,29,29
BYNDOOR,29,29
BHILAD,29,29
ONDAGRARM,29,29
UCHANA,29,29
KARELI,29,29
ALAM NAGAR,29,29
RAIKA BAGH P,29,28
PRINCEP GHAT,29,29
PURNEA JN.,29,29
TIRUPPADIRIP,29,29
TIRUMALPUR,29,29
CHARLAPALLI,29,29
EDEN GARDENS,29,29
THIRUVARUR J,29,29
BHATKAL,29,29
HOSUR,29,29
PAPANASAM,29,29
BHAGWANGOLA,29,29
KALI PAHARI,28,28
KARAUTA,28,28
SIDHAPUR,28,28
VALLIYUR,28,28
NAMKHANA,28,28
AMAUSI,28,28
RANGAPARA NO,28,28
JAITIPUR,28,28
AONLA,28,28
NAYUDUPETA,28,28
MOR,28,28
SARNATH,28,28
BURHAR,28,28
MAROLI,28,28
NIMTITA,28,28
SONIK,28,28
CUDDALORE PO,28,28
DHRANGADHRA,28,28
GANGA KHER,28,28
AJGAIN,28,28
DULLAHAPUR,28,28
BHONGIR,28,28
MANKATHA,28,28
BABINA,28,28
PIRAVAM ROAD,28,28
PIPARSAND,28,28
PALEJ,28,28
MAKHDUMPUR G,28,28
GARHMUKTESAR,28,20
ADITYAPUR,28,28
MALERKOTLA,28,28
GANGSAR JAIT,28,28
MANAK NAGAR,28,28
BANASTHALI N,28,28
HANUMANGARH,28,24
VIKRAMGARH A,28,28
MADDUR,28,28
KHARSIA,28,28
KHURAI,28,28
KUMHARI,28,28
KUMTA,28,28
SALEMPUR JN.,28,28
SALBONI,28,28
KUDACHI,28,28
ABOHAR,28,28
KUSUMBHI,28,28
BISNUPRIYA H,28,28
TANUR,28,28
PUNTAMBA,28,28
RAIRAKHOL,28,28
HARAUNI,28,28
MALLESWARAM,28,28
SERAM,28,28
LALBAGH COUR,28,28
LATEHER,28,28
KUDRA,28,28
DWARAPUDI,28,28
BELHA,28,28
ANAPARTI,28,28
PARAVUR,28,28
SANDILA,28,28
AMALSAD,28,28
HOTGI JN.,28,28
MALKHEDI,28,28
SANJAN,27,27
JAMIKUNTA,27,27
PORBANDAR,27,27
SILCHAR,27,27
JUNAGADH JN,27,27
JETALSAR JN,27,27
BARRA BAZAR,27,27
ANDHERI,27,27
SRIRANGAM,27,27
AJNI,27,27
DEBAGRAM,27,27
REMOUNT ROAD,27,27
BAGH BAZAR,27,27
COSSIMBAZAR,27,27
RANI,27,27
UMBERGAON RO,27,27
SOVABAZAR-AH,27,27
SHAMLI,27,27
REJINAGAR,27,27
KHIDIRPUR,27,27
PUNPUN,27,27
KHATAULI,27,27
BIYAVRA RAJG,27,27
KHED,27,27
BABATPUR,27,27
TYAKAL,27,27
ISMAILA HARY,27,27
TALLA,27,27
MANDAWALI CH,27,27
MANGOLPURI,27,27
CHHATNA,27,27
MALOUT,26,26
HARINAGAR,26,26
GOSHAINGANJ,26,26
SIMULTALA,26,26
BIJAINAGAR,26,26
PALAKOLLU,26,26
GANGATIKURI,26,26
CHOWRIGACHA,26,26
NAUGARH,26,26
NEORA,26,26
UMRI,26,26
NARASAPUR,26,26
MULTAI,26,26
PIPRAICH,26,26
HASSAN JN.,26,26
BANAHI,26,26
GHOGHA,26,26
KEDGAON,26,26
TIRUVERUMBUR,26,26
BELTHARA ROA,26,26
KARAIKKUDI,26,26
USALAPUR,26,26
NANDURA,26,26
KULHARIA,26,26
BIRSINGHPUR,26,26
KOTSHILA,26,26
SADISOPUR,26,26
NEYYATTINKAR,26,26
KARAGOLA ROA,26,26
KULTI,26,26
YUSUFPUR,26,26
DARYABAD,26,26
ROHAD NAGAR,26,26
BANSIPUR,26,26
TEHTA,26,26
LASAL GAON,26,26
NADAUL,26,26
NADWAN,26,26
TETULMARI,26,26
RAMESWARAM,26,26
JAIS,26,26
FAZILKA JN.,26,26
MUNDKA HALT,26,26
MERTALA PHAL,26,26
MARKAPUR ROA,26,26
BAHADURPUR,26,26
NARASARAOPET,26,26
BAGALKOT,26,26
JALPAIGURI R,26,26
KARNA SUBARN,26,26
SUNAM,26,26
JAIRAMNAGAR,26,26
SAKTI,26,26
KHUDIRAM BOS,26,26
RAFIGANJ,26,26
LAKHMINIA,26,26
PUTUR,26,26
ALNAVAR JN.,26,26
PUNKUNNAM,26,26
LOHIAN KHAS,26,26
VERKA JN.,26,26
POKHRAYAN,26,26
MAIRWA,26,26
KHARAWAR,26,26
GHEVRA,26,26
BRAJARAJNAGA,26,26
ASAUDAH,26,26
TRIVANDRAM P,26,26
SWADINPUR,26,26
BARHNI,26,26
TENYA,26,26
BABHNAN,26,26
VELLORE CANT,26,26
MIRZAPALI,26,26
ATTILI,26,26
HOSPET JN.,26,26
GAMHARIA,25,25
DELHI-SAFDAR,25,23
SABARMATI,25,25
KRISHNAPUR,25,25
MURAGACHHA,25,25
KADIPUR,25,25
DHUBULIA,25,25
SHAJAPUR,25,25
ARAMBAG,25,25
THANA BHAWAN,25,14
BIJWASAN,25,25
JALALGANJ,25,25
THANA BIHPUR,25,25
SARONA,25,25
JHANTIPAHARI,25,25
MAYAPUR,25,25
KANDRA,25,25
MUHAMMADABAD,25,25
BHATPAR RANI,25,25
NAGAPPATTINA,25,25
SARGACHNI,25,25
JAKHANIAN,25,25
RAJGRAM,25,25
PANDAVAPURA,25,25
PATIPUKUR,25,25
PATHARIA,25,25
PEPPEGANJ,25,25
HOODI,25,25
DHARMAPURI,25,25
PAGLA CHANDI,25,25
UDVADA,25,25
THURAVUR,25,25
DHANAURI,25,25
AMGAON,25,25
BHABTA,25,25
RAJAWARI,25,25
BARARA,25,25
BARAUT,25,25
ADARSH NAGAR,25,25
EKMA,25,25
AMLAI,24,24
SOLAGAMPATTI,24,24
DEROL,24,24
KOPARIA,24,24
BISHANPUR HA,24,24
KUCHAMAN CIT,24,24
EKLAKHI,24,24
FARIDKOT,24,24
FAKHARPUR HA,24,24
BHADAURA,24,24
PUDUKKOTTAI,24,24
RAJA-KA-SAHA,24,24
RAIWALA JN.,24,24
GOTRA,24,24
POTHAHI,24,24
PITHAPURAM,24,24
ALER,24,24
HARCHANDPUR,24,24
PATRATU,24,24
TIRORA,24,24
HATKANANGALE,24,24
COLONELGANJ,24,24
EKCHARI,24,24
ERANIEL,24,24
PARAMAKKUDI,24,24
PARAJ,24,24
AKKAMPET,24,24
CHHARRA,24,24
RAMANATHAPUR,24,24
RAKHA MINES,24,24
RAJGARH,24,24
PANKI,24,24
INDI ROAD,24,24
BADLI,24,24
SARDIHA,24,24
SARASWATI NA,24,24
ALAKKUDI,24,24
BATALA JN.,24,24
JHAMATPUR BA,24,24
BAGALIA,24,24
NOLI,24,24
JARWAL ROAD,24,24
DADRI,24,24
RAJBANDH,24,24
THAN,24,24
GIDDARBAHA,24,24
NANGAL DAM,24,24
NEW MAL JN.,24,24
BAGHPAT ROAD,24,24
SHAHABAD MUH,24,24
BHAVNAGAR PA,24,24
ANNIGERI,24,24
UNCHAHAR JN.,24,24
BAJVA,24,24
NALBARI,24,24
BASTA,24,24
AKANAPET,24,24
SAHIBPUR KAM,24,24
GALSI,24,24
SABOUR,24,24
GAURIBIDANUR,24,24
RENGALI,24,24
SHAHPUR PATO,24,24
BHOJIPURA JN,24,24
BASAI DHANKO,24,24
MAURIGRAM,24,24
KANNIYAKUMAR,24,24
KANNAPURAM,24,24
MOHUDA,24,24
AIT JN,24,24
MIRZA-CHEUKI,24,24
SUNEHRA,24,24
MAULA ALI,24,24
BARNALA,24,24
CHIPURUPALLE,24,24
CHINNAGANJAM,24,24
GARH-DHRUBBE,24,24
MAILANI JN.,24,24
AHERA,24,24
BOINDA,24,24
KHEKRA,24,24
BANDA JN,24,24
SINGAPUR ROA,24,24
MALIHATI TAL,24,24
KHALARI,24,24
MAHOBA,24,24
MACHILIPATNA,24,24
BARANG JN.,24,24
KUSTAUR,24,24
BARAUNI FLAG,24,24
KOELWAR,24,24
DASHARATHPUR,24,24
DARJEELING,24,15
SRINAGAR,24,24
SRI SATYA SA,24,24
WANSJALIYA J,23,23
TARAPITH ROA,23,23
RATHDHANA,23,23
RAMNAGAR,23,23
UDGIR,23,23
NIRAKARPUR,23,23
NIMBAHERA,23,23
TANDA-URMAR,23,23
PENDURTI,23,23
SAMDARI,23,23
PATIALA,23,23
PARDI,23,23
PRADHAN KHUN,23,23
BIBINAGAR,23,23
FATEHGARH,23,23
GADADHARPUR,23,23
CHERVATTUR,23,23
GONDAL,23,23
RANOLI,23,23
MANIRAM,23,23
BONDAMUNDA J,23,23
SONADANGA,23,23
KHALLIKOT,23,23
SINGRAULI,23,23
MADHUKUNDA,23,23
KOPPAL,23,23
VIRAVASARAM,23,23
BARSOLA,23,23
MURADI,23,23
MANDI BAMORA,23,23
CAMPIERGANJ,23,23
SHANKARGARH,23,23
SHOHRATGARH,23,23
NAMKOM,23,23
PACHORA JN.,23,23
SHAHABAD MAR,23,23
COIMBATORE N,23,23
VERAVAL,23,23
NAINI JN.,23,23
SAHEBTALA  H,22,22
CHILAKALPUDI,22,22
BHALUI,22,22
RAMBHADDARPU,22,22
ROOP NAGAR,22,22
RUPRA ROAD,22,22
RAU,22,22
BHALUKA ROAD,22,22
CHIRAYINKIL,22,22
KULEM,22,22
ZAHIRABAD,22,22
GATORA,22,22
RAMPURA PHUL,22,22
GIDDALUR,22,22
RAMPUR DUMRA,22,22
BEML NAGAR,22,22
PARSA BAZAR,22,22
TILHAR,22,22
BELAKOBA,22,22
SAMBHU,22,22
COROMANDEL,22,22
TALJHARI,22,22
BHARTHANA,22,22
TALL JN.,22,22
SANVORDEM CU,22,22
BEHTA HAZIPU,22,22
OORGAUM,22,22
HOLAMBI KALA,22,22
CHANPATIA,22,22
SANAT NAGAR,22,22
GURDASPUR,22,22
QUAZIGUND,22,22
GUDLAVALLERU,22,22
PEDANA,22,22
AWANTIPURA,22,22
CHAUSA,22,22
TONDAMANPATT,22,22
PENU KONDA,22,22
THAWE JN.,22,22
TAPA,22,22
QASIMPUR KHE,22,22
GURARU,22,22
GOVINDPURI,22,22
BHAGWANPUR,22,22
NAGORE,22,22
CHAKAND,22,22
ANJI SHAHABA,22,22
DODBELE,22,22
JHINJHAK,22,22
DONAKONDA,22,22
JUKEHI,22,22
NAWADAH,22,22
CHAMPION,22,22
NAYA GHAZIAB,22,22
JWALAPUR,22,22
NILESHWAR,22,22
NUSRATABAD K,22,22
JANAKPUR ROA,22,22
NORLA  ROAD,22,22
NPA SIVARAMP,22,22
PARASSALA,22,22
KANDHLA,22,22
SHIMOGA TOWN,22,22
VADLAMANNADU,22,22
MORAPPUR,22,22
AJAIBPUR,22,22
MANOHARABAD,22,22
MUNROTURUTTU,22,22
Saifee Nagar,22,22
KALOL,22,22
MURADNAGAR,22,22
DHULIAN GANG,22,22
SHIVNARAYANP,22,22
KADAKAVUR,22,22
NAKAHA JUNGL,22,22
BASMAT,22,22
VASCO-DA-GAM,22,22
BHEDIA,22,22
ANANTNAG,22,22
SHOLINGUR,22,22
"BALRAMPUR,",22,22
SURATHKAL,22,22
MARIPAT,22,22
MARIKUPPAM,22,22
KAMTAUL,22,22
VETAPALEM,22,22
MALIPUR,22,22
AMBODALA,22,22
ANANDPUR SAH,22,22
VARTREJ,22,22
BORAKI HALT,22,22
KAVUTARAM,22,22
KHODIYAR,22,22
BANIHAL,22,22
DHAMARA GHAT,22,22
KHORASON ROA,22,22
KURSELA,22,22
LABHA,22,22
LOKMANYA NAG,22,22
WADIARAM,22,22
KONDAPURAM,22,22
KOTALPUKUR,22,22
DANKAUR,22,22
SUJRA,22,22
DESARI,22,22
DEVAN GONTHI,22,22
DELANG,22,22
SONGADH,22,22
INDRABIL,21,21
HARSANA KALA,21,21
PANOLI,21,21
KAPAN  HALT,21,21
PANDHARPUR,21,21
CHAURI CHAUR,21,21
SAFEDABAD,21,21
SADAT,21,21
SACHIN,21,21
PEDAKAKANI H,21,21
RURA,21,21
KANTHI FS,21,21
AZAMNAGAR RO,21,21
PHEPHNA JN.,21,21
SOHAGPUR,21,21
TARI GOPPULA,21,21
CHOLA,21,21
DIGHA FS,21,21
LEHRA GAGA,21,21
KALUPARA GHA,21,21
KESHOD,21,21
VATVA,21,21
CHITRAKUTDHA,21,21
LALGARH JN.,21,21
DUGGIRALA,21,21
KANIJ,21,21
MALHOUR,21,21
KALAIKUNDA,21,21
RAMSAGAR,21,21
GODAVRI,21,21
KHANAPUR,21,21
NAMBURU,21,21
NENPUR,21,21
NEKONDA,21,21
NANDESARI,21,21
BIJURI,21,21
KHEMASULI PH,21,21
GOTHAJ,21,21
JULANA,21,21
UREN,21,21
SHIBLUN,21,21
KHERA KALAN,21,21
JORAVARNAGAR,21,21
JUGAUR,21,21
BHALKI,21,21
BHAKTINAGAR,21,21
RATANPUR,21,21
GHOLVAD,21,21
PITAMBARPUR,21,21
MASUDAN,20,20
AKODIA,20,20
PANJGAM,20,20
KARAIKAL,20,20
ALAWALPUR ID,20,20
BHILDI JN,20,20
KARGI ROAD,20,20
SAKRIGALI,20,20
MIRKHAL,20,20
BARKA HALT,20,20
TARIKERE,20,20
SOHWAL,20,20
DEVAKOTTAI R,20,20
KORBA,20,20
UTARSANDA,20,20
BYATRAYANHAL,20,20
RUPNARAYANPU,20,20
GALUDIH,20,20
RUSERA GHAT,20,20
TARSARAI,20,20
AILAM HALT,20,20
PERINAD,20,20
LAKHERI,20,20
AMMANABROLU,20,20
HASIMARA,20,20
MOHIUDDINNAG,20,20
SADURA,20,20
MANPUR JN.,20,20
KATHGODAM,20,20
BETAMCHERLA,20,20
CHAU MAHLA,20,20
TANGLA,20,20
MASKANWA,20,20
KARAMBELI,20,20
SANDAL KALAN,20,20
MATHURA PUR,20,20
KYATSANDRA,20,20
KOTMA,20,20
KOTMI SONAR,20,20
PAMPORA,20,20
PAYANGADI,20,20
OCHIRA,20,20
TIMMAPUR,20,20
NUZVID,20,20
HADAPSAR,20,20
GHASO,20,20
GHARAUNDA,20,20
GAURI BAZAR,20,20
GARPOS,20,20
DIWANA,20,20
GERATPUR,20,20
RAWATGANJ F,20,20
BHADRAVATI,20,20
BAGDIHI,20,20
RAYBAG,20,20
KAURIA JUNGL,20,20
KAZHAKUTTAM,20,20
PINGLI,20,20
PIARDOBA,20,20
OLD MALDA,20,20
KAMALPUR HAL,20,20
GETOR JAGATP,20,20
VEDAYAPALEM,20,20
DOKRA HALT,20,20
REWA,20,20
HALDIPADA,20,20
HALDWANI,20,20
ADUTHURAI,20,20
UDALGURI,20,20
SIVAGANGA,20,20
MANJATTIDAL,20,20
GANGAPUR ROA,20,20
MANJARI BUDR,20,20
NIGOHAN,20,20
JAWAI BANDH,20,20
NIDAMANGALAM,20,20
LONI,20,20
BANPAS,20,20
KISHANPUR,20,20
JEUR,20,20
RASRA,20,20
PIRTALA,20,20
SEMAPUR,20,20
DIGUVAMETTA,20,20
LOHARPURWA (,20,20
NIMBAL,20,20
PUDUKAD,20,20
SIRSA,20,19
LINGARAJ TEM,20,20
DHAMPUR,20,20
BAGBAHRA,20,20
VINUKONDA,20,20
THERUBALI,20,20
NAGINA,20,20
GUMANI,20,20
KICHHA,20,20
NEPA NAGAR,20,20
NANDALUR,20,20
DHARIWAL,20,20
BODARWAR,20,20
KALA PIPAL,20,20
KAKARGHATTI,20,20
KAKAPORA,20,20
VENDODU,20,20
TILAIYA,20,20
GUDIATTAM,20,20
NATHNAGAR,20,20
SUWASRA,20,20
BIJBIARA,20,20
NANDGAON,20,20
RAMCHAURA HA,20,20
BOKAJAN,20,20
JIBANTI,20,20
MAHESH KHUNT,20,20
MAHAWAN KHOR,20,20
UNAULA,20,20
UNCHEHARA,20,20
RAJNAGAR,20,20
GONIANA,20,20
BAIDYANATHDH,20,20
THALWARA,20,20
NARAYANPUR,20,20
SHIVPURI,20,20
DAKANIYA TAL,20,20
DALBHUMGARH,20,20
DALGAON,20,20
NASIRABAD,20,20
CHATA,20,20
TORANAGALLU,20,20
KARPOORIGRAM,20,20
KARTARPUR,20,20
YEVAT,20,20
SUGAPAHARI H,20,10
PATAS,20,20
HILLAR SHAHA,20,20
CHARKHI DADR,20,20
WARORA,20,20
BADAMI,19,19
ADILABAD,19,19
RAJLU GARHI,19,19
JHAPATERDHAL,19,19
SHOLAVANDAN,19,19
GOMTINAGAR F,19,19
JOGBANI,19,19
ATARRA,19,19
BORIDAND,19,19
KHALISPUR,19,19
KHALILPUR,19,19
BHEDUASOL,19,19
KINWAT,19,19
DAMODAR JN.,19,19
RAMKANALI JN,19,19
BHODWAL MAJR,19,19
AHMED GARH,19,19
KAKINADA POR,19,19
NAKODAR JN.,19,19
KADETHAN,19,19
NOADAR DHAL,19,19
UJIARPUR,19,19
NABIPUR,19,19
SAYAN,19,19
NANDGANJ,19,19
UPPALUR,19,19
BATASPUR,19,19
MUAZZAMPUR N,19,19
TULSIPUR,19,19
KOPAI,19,19
CHANDLODIYA,19,19
USMANABAD,19,19
VEJANDLA,19,19
TATISILWAI,19,19
CHAINWA,19,19
LATUR,19,19
SIRJAM,19,19
ASAIPUR JOBN,19,19
PUGALUR,19,19
ALMATTI,19,19
KANTAKAPALLE,19,19
BANSHLAI BRI,19,19
KORU KONDA,19,19
TIRUMANGALAM,19,19
KAPASAN,19,19
MANSA,19,19
DUNGRI,19,19
BERO,19,19
PALUR,19,19
DELHI-AZADPU,19,19
ARARIYA COUR,19,19
CHATRA,19,19
ALAMANDA,19,19
DANTAN,19,19
SAHJANWA,19,19
FORBESGANJ J,19,19
MUDDANURU,19,19
PICHKURIRDHA,19,19
PIPALSANA,19,19
MAZHOM,18,18
MAHIPAL ROAD,18,18
SIKANDARPUR,18,18
GULDHAR,18,18
RAMGANGA,18,18
KHUTBAV,18,18
KILA RAIPUR,18,18
DHURWASIN  H,18,18
BAHERI,18,18
CHILBILA JN,18,18
NAWA CITY,18,18
MADHRANAGAR,18,18
MACHARYA,18,18
KHIRKIYA,18,18
KHODIYAR MAN,18,18
NAYANDAHALLI,18,18
CHHAPRA KACH,18,18
SHEIKHPURA,18,18
KHERLI,18,18
BAHRAICH,18,18
BAIHATOLA,18,18
GORAUL,18,18
RAJGIR,18,18
NARSIPATNAM,18,18
NANPARA JN.,18,18
HODAL,18,18
KUNDARKHI,18,18
KUNDA HARNAM,18,18
GOSAI GAON H,18,18
MEHNAR ROAD,18,18
WALAJABAD,18,18
DURGAUTI,18,18
BELGAHNA,18,18
PATLI,18,18
BHIMSEN,18,18
HOLENARSIPUR,18,18
AKSHAYWAT RA,18,18
WAIR,18,18
KUMBHAWAS MU,18,18
HIRA NAGAR,18,18
YALVIGI,18,18
WAZERGANJ,18,18
INCHHAPURI,18,18
MERTA CITY,18,18
PASIVEDALA H,18,18
JANKAMPET JN,18,18
SILYARI,18,18
JAPLA,18,18
ANTU,18,18
DIVINE NAGAR,18,18
DINANAGAR,18,18
NABINAGAR RO,18,18
NABHA,18,18
TENKASI,18,18
NEW BHUJ,18,18
KALIANPUR,18,18
KALIAN CHAK,18,18
JAYASINGPUR,18,18
JATAULA JORI,18,18
PUNDAG,18,18
NEW HALFLONG,18,18
NAGARUNTARI,18,18
SENGOTTAI JN,18,18
CASTLE ROCK,18,18
RANUJ,18,18
NADBAI,18,18
SEOHARA,18,18
AMBLIYASAN J,18,18
NAZIRGANJ,18,18
MAKHU,18,18
NALANDA,18,18
NALLA PADU J,18,18
RAMAVARAPPAD,18,18
ASRA HALT,18,18
TAJ NAGAR,18,18
GIDHNI,18,18
BAIRAGNIA,18,18
KANAS ROAD,18,18
MULANTURUTTI,18,18
RISIA,18,18
CHAGALLU,18,18
RETANG,18,18
GHANPUR,18,18
MANDAPAM,18,18
DABILPUR HAL,18,18
KANHAN JN.,18,18
MUKTAPUR,18,18
CHANDIA ROAD,18,18
PHULPUR,18,18
GANKAR,18,18
GARJAIPUR,18,18
MUKUNDARAYAP,18,18
SARAIMIR,18,18
HANSI,18,18
JALAMB JN.,18,18
RENUKUT,18,18
GHATKESAR,18,18
BAWLI HALT,18,18
KOKPARA,18,18
PIPRA,18,18
LAR ROAD,18,18
KHADA,18,18
SATNALI,18,18
MALLANWALA K,18,18
KALUMNA,18,18
KHAJAULI,18,18
SATROD,18,18
DIDWANA,18,18
JANDIALA,18,18
SONAILI,18,18
BARADWAR,18,18
BARAMULLA,18,18
DESHNOKE,18,18
BIHAR SHARIF,18,18
JAITWAR,18,18
PHALODI,18,18
CHANDUR,18,18
RUKADI,18,18
BAKUDI,18,18
TARAORI,18,18
MANIGRAM,18,18
SUJANGARH,18,18
VISHWAMITRI,18,18
KORAPUT JN.,18,18
GANGRAUL HAL,18,18
TWINING GANJ,18,18
JAGRAON,18,18
PERNEM,18,18
BANSTOLA P.H,18,18
HASANPUR ROA,18,18
BADLA GHAT,18,18
DUDHANI,18,18
MORVI,18,18
